Brand,emd_candidate,zone_note
Mostbet,mostbetcolombia.co,.co/.com.co = локальный траст CO
Mostbet,mostbet-co.co,.co/.com.co = локальный траст CO
Mostbet,mostbetcasino.co,.co/.com.co = локальный траст CO
Mostbet,mostbetcol.com,.com — глобал
Mostbet,descargar-mostbet.com,.com — глобал
Mostbet,mostbet-apk.co,.co/.com.co = локальный траст CO
Mostbet,mostbetapp.co,.co/.com.co = локальный траст CO
Mostbet,mostbet-bono.co,.co/.com.co = локальный траст CO
Mostbet,mostbet.icu,".icu/.top = дёшево, расходное"
Mostbet,mostbet-colombia.icu,".icu/.top = дёшево, расходное"
Mostbet,mostbetco.icu,".icu/.top = дёшево, расходное"
Mostbet,mostbet.top,".icu/.top = дёшево, расходное"
1win,1wincolombia.co,.co/.com.co = локальный траст CO
1win,1win-co.co,.co/.com.co = локальный траст CO
1win,1wincasino.co,.co/.com.co = локальный траст CO
1win,1wincol.com,.com — глобал
1win,descargar-1win.com,.com — глобал
1win,1win-apk.co,.co/.com.co = локальный траст CO
1win,1winapp.co,.co/.com.co = локальный траст CO
1win,1winapuestas.co,.co/.com.co = локальный траст CO
1win,1win-bono.co,.co/.com.co = локальный траст CO
1win,1win.icu,".icu/.top = дёшево, расходное"
1win,1win-colombia.icu,".icu/.top = дёшево, расходное"
1win,1winco.top,".icu/.top = дёшево, расходное"
Pin-Up,pinupcolombia.co,.co/.com.co = локальный траст CO
Pin-Up,pinup-co.co,.co/.com.co = локальный траст CO
Pin-Up,pinupcasino.co,.co/.com.co = локальный траст CO
Pin-Up,pinupcol.com,.com — глобал
Pin-Up,descargar-pinup.com,.com — глобал
Pin-Up,pinup-apk.co,.co/.com.co = локальный траст CO
Pin-Up,pinup-aviator.com,.com — глобал
Pin-Up,pinupbet.co,.co/.com.co = локальный траст CO
Pin-Up,pinup.icu,".icu/.top = дёшево, расходное"
Pin-Up,pinup-colombia.icu,".icu/.top = дёшево, расходное"
Pin-Up,pinupco.top,".icu/.top = дёшево, расходное"
